[19:43:30] server start http://127.0.0.1:8770 backend_ready=True
[19:43:37] 127.0.0.1 "GET /api/health HTTP/1.1" 200 -
[19:43:37] 127.0.0.1 "GET / HTTP/1.1" 200 -
[19:43:37] 127.0.0.1 "GET /app.js HTTP/1.1" 200 -
[19:43:37] 127.0.0.1 "GET /vendor/three.module.js HTTP/1.1" 200 -
[19:43:37] 127.0.0.1 "GET /vendor/OrbitControls.js HTTP/1.1" 200 -
[19:43:37] 127.0.0.1 "GET /data/index.json HTTP/1.1" 200 -
[19:43:37] 127.0.0.1 "GET /data/living_room.scene.json HTTP/1.1" 200 -
[19:43:37] 127.0.0.1 "GET /data/runs.json HTTP/1.1" 200 -
[19:43:37] 127.0.0.1 "GET /assets/living_room/rgb.png HTTP/1.1" 200 -
[19:43:37] 127.0.0.1 "GET /assets/living_room/masks/sofa_1.png HTTP/1.1" 200 -
[19:44:06] 127.0.0.1 "GET / HTTP/1.1" 200 -
[19:44:06] 127.0.0.1 "GET /app.js HTTP/1.1" 200 -
[19:44:06] 127.0.0.1 "GET /vendor/three.module.js HTTP/1.1" 200 -
[19:44:06] 127.0.0.1 "GET /vendor/OrbitControls.js HTTP/1.1" 200 -
[19:44:06] 127.0.0.1 "GET /api/health HTTP/1.1" 200 -
[19:44:06] 127.0.0.1 "GET /data/index.json HTTP/1.1" 200 -
[19:44:06] 127.0.0.1 code 404, message File not found
[19:44:06] 127.0.0.1 "GET /favicon.ico HTTP/1.1" 404 -
[19:44:06] 127.0.0.1 "GET /data/runs.json HTTP/1.1" 200 -
[19:44:06] 127.0.0.1 "GET /data/living_room.scene.json HTTP/1.1" 200 -
[19:44:06] 127.0.0.1 "GET /data/living_room.report.json HTTP/1.1" 200 -
[19:44:06] 127.0.0.1 "GET /assets/living_room/rgb.png HTTP/1.1" 200 -
[19:44:06] 127.0.0.1 "GET /assets/living_room/masks/sofa_1.png HTTP/1.1" 200 -
[19:44:06] 127.0.0.1 "GET /assets/living_room/masks/mirror_1.png HTTP/1.1" 200 -
[19:44:06] 127.0.0.1 "GET /assets/living_room/masks/picture_1.png HTTP/1.1" 200 -
[19:44:06] 127.0.0.1 "GET /assets/living_room/masks/picture_3.png HTTP/1.1" 200 -
[19:44:06] 127.0.0.1 "GET /assets/living_room/masks/picture_2.png HTTP/1.1" 200 -
[19:44:06] 127.0.0.1 "GET /assets/living_room/masks/chair_1.png HTTP/1.1" 200 -
[19:44:06] 127.0.0.1 "GET /assets/living_room/masks/sofa_chair_1.png HTTP/1.1" 200 -
[19:44:06] 127.0.0.1 "GET /assets/living_room/masks/table_1.png HTTP/1.1" 200 -
[19:44:06] 127.0.0.1 "GET /assets/living_room/masks/picture_4.png HTTP/1.1" 200 -
[19:45:15] 127.0.0.1 "GET / HTTP/1.1" 200 -
[19:45:15] 127.0.0.1 "GET /app.js HTTP/1.1" 200 -
[19:45:15] 127.0.0.1 "GET /vendor/three.module.js HTTP/1.1" 200 -
[19:45:15] 127.0.0.1 "GET /vendor/OrbitControls.js HTTP/1.1" 200 -
[19:45:15] 127.0.0.1 "GET /api/health HTTP/1.1" 200 -
[19:45:15] 127.0.0.1 code 404, message File not found
[19:45:15] 127.0.0.1 "GET /data/index.json HTTP/1.1" 200 -
[19:45:15] 127.0.0.1 "GET /favicon.ico HTTP/1.1" 404 -
[19:45:15] 127.0.0.1 "GET /data/runs.json HTTP/1.1" 200 -
[19:45:15] 127.0.0.1 "GET /data/living_room.scene.json HTTP/1.1" 200 -
[19:45:15] 127.0.0.1 "GET /data/living_room.report.json HTTP/1.1" 200 -
[19:45:15] 127.0.0.1 "GET /assets/living_room/rgb.png HTTP/1.1" 200 -
[19:45:15] 127.0.0.1 "GET /assets/living_room/masks/sofa_1.png HTTP/1.1" 200 -
[19:45:15] 127.0.0.1 "GET /assets/living_room/masks/mirror_1.png HTTP/1.1" 200 -
[19:45:15] 127.0.0.1 "GET /assets/living_room/masks/picture_1.png HTTP/1.1" 200 -
[19:45:15] 127.0.0.1 "GET /assets/living_room/masks/chair_1.png HTTP/1.1" 200 -
[19:45:15] 127.0.0.1 "GET /assets/living_room/masks/picture_2.png HTTP/1.1" 200 -
[19:45:15] 127.0.0.1 "GET /assets/living_room/masks/picture_3.png HTTP/1.1" 200 -
[19:45:15] 127.0.0.1 "GET /assets/living_room/masks/sofa_chair_1.png HTTP/1.1" 200 -
[19:45:15] 127.0.0.1 "GET /assets/living_room/masks/table_1.png HTTP/1.1" 200 -
[19:45:15] 127.0.0.1 "GET /assets/living_room/masks/picture_4.png HTTP/1.1" 200 -
[19:45:16] 127.0.0.1 "GET /?scene=living_room_gt&select=table_1 HTTP/1.1" 200 -
[19:45:16] 127.0.0.1 "GET /app.js HTTP/1.1" 200 -
[19:45:17] 127.0.0.1 "GET /vendor/three.module.js HTTP/1.1" 200 -
[19:45:17] 127.0.0.1 "GET /vendor/OrbitControls.js HTTP/1.1" 200 -
[19:45:17] 127.0.0.1 "GET /api/health HTTP/1.1" 200 -
[19:45:17] 127.0.0.1 code 404, message File not found
[19:45:17] 127.0.0.1 "GET /data/index.json HTTP/1.1" 200 -
[19:45:17] 127.0.0.1 "GET /favicon.ico HTTP/1.1" 404 -
[19:45:17] 127.0.0.1 "GET /data/runs.json HTTP/1.1" 200 -
[19:45:17] 127.0.0.1 "GET /data/living_room_gt.scene.json HTTP/1.1" 200 -
[19:45:17] 127.0.0.1 "GET /data/living_room_gt.report.json HTTP/1.1" 200 -
[19:45:17] 127.0.0.1 "GET /assets/living_room_gt/rgb.png HTTP/1.1" 200 -
[19:45:17] 127.0.0.1 "GET /assets/living_room_gt/masks/picture_1.png HTTP/1.1" 200 -
[19:45:17] 127.0.0.1 "GET /assets/living_room_gt/masks/mirror_1.png HTTP/1.1" 200 -
[19:45:17] 127.0.0.1 "GET /assets/living_room_gt/masks/chair_1.png HTTP/1.1" 200 -
[19:45:17] 127.0.0.1 "GET /assets/living_room_gt/masks/picture_2.png HTTP/1.1" 200 -
[19:45:17] 127.0.0.1 "GET /assets/living_room_gt/masks/picture_3.png HTTP/1.1" 200 -
[19:45:17] 127.0.0.1 "GET /assets/living_room_gt/masks/sofa_1.png HTTP/1.1" 200 -
[19:45:17] 127.0.0.1 "GET /assets/living_room_gt/masks/sofa_chair_1.png HTTP/1.1" 200 -
[19:45:17] 127.0.0.1 "GET /assets/living_room_gt/masks/table_1.png HTTP/1.1" 200 -
[19:45:17] 127.0.0.1 "GET /assets/living_room_gt/masks/picture_4.png HTTP/1.1" 200 -
[19:46:02] counterfactual scene=living_room remove=['table_1'] ok=True
[19:46:02] 127.0.0.1 "POST /api/counterfactual HTTP/1.1" 200 -
[19:46:02] ask scene=living_room planner=off vlm=True q=沙发和桌子之间的三维距离是多少米？
[19:46:04] ask done status=ok elapsed=1.97s
[19:46:04] 127.0.0.1 "POST /api/ask HTTP/1.1" 200 -
[19:46:48] server start http://127.0.0.1:8770 backend_ready=True
[19:46:57] ask scene=living_room planner=off vlm=True q=场景里一共有几个物体？
[19:46:58] ask done status=ok elapsed=1.27s saved=demo_live_20260919_194658_living_room.json
[19:46:58] 127.0.0.1 "POST /api/ask HTTP/1.1" 200 -
[19:47:26] ask scene=living_room planner=off vlm=True q=沙发是什么颜色？
[19:47:29] ask done status=ok elapsed=3.07s saved=demo_live_20260919_194729_living_room.json
[19:47:29] 127.0.0.1 "POST /api/ask HTTP/1.1" 200 -
[19:47:55] 127.0.0.1 "GET / HTTP/1.1" 200 -
[19:47:55] 127.0.0.1 "GET /app.js HTTP/1.1" 200 -
[19:47:55] 127.0.0.1 "GET /vendor/three.module.js HTTP/1.1" 200 -
[19:47:55] 127.0.0.1 "GET /vendor/OrbitControls.js HTTP/1.1" 200 -
[19:47:55] 127.0.0.1 "GET /api/health HTTP/1.1" 200 -
[19:47:55] 127.0.0.1 code 404, message File not found
[19:47:55] 127.0.0.1 "GET /data/index.json HTTP/1.1" 200 -
[19:47:55] 127.0.0.1 "GET /favicon.ico HTTP/1.1" 404 -
[19:47:55] 127.0.0.1 "GET /data/runs.json HTTP/1.1" 200 -
[19:47:55] 127.0.0.1 "GET /data/living_room.scene.json HTTP/1.1" 200 -
[19:47:55] 127.0.0.1 "GET /data/living_room.report.json HTTP/1.1" 200 -
[19:47:55] 127.0.0.1 "GET /assets/living_room/rgb.png HTTP/1.1" 200 -
[19:47:55] 127.0.0.1 "GET /assets/living_room/masks/sofa_1.png HTTP/1.1" 200 -
[19:47:55] 127.0.0.1 "GET /assets/living_room/masks/picture_1.png HTTP/1.1" 200 -
[19:47:55] 127.0.0.1 "GET /assets/living_room/masks/mirror_1.png HTTP/1.1" 200 -
[19:47:55] 127.0.0.1 "GET /assets/living_room/masks/picture_2.png HTTP/1.1" 200 -
[19:47:55] 127.0.0.1 "GET /assets/living_room/masks/picture_3.png HTTP/1.1" 200 -
[19:47:55] 127.0.0.1 "GET /assets/living_room/masks/chair_1.png HTTP/1.1" 200 -
[19:47:55] 127.0.0.1 "GET /assets/living_room/masks/sofa_chair_1.png HTTP/1.1" 200 -
[19:47:55] 127.0.0.1 "GET /assets/living_room/masks/table_1.png HTTP/1.1" 200 -
[19:47:55] 127.0.0.1 "GET /assets/living_room/masks/picture_4.png HTTP/1.1" 200 -
[19:47:56] 127.0.0.1 "GET /?mode=live HTTP/1.1" 200 -
[19:47:56] 127.0.0.1 "GET /app.js HTTP/1.1" 200 -
[19:47:56] 127.0.0.1 "GET /vendor/three.module.js HTTP/1.1" 200 -
[19:47:56] 127.0.0.1 "GET /vendor/OrbitControls.js HTTP/1.1" 200 -
[19:47:56] 127.0.0.1 "GET /api/health HTTP/1.1" 200 -
[19:47:56] 127.0.0.1 code 404, message File not found
[19:47:56] 127.0.0.1 "GET /data/index.json HTTP/1.1" 200 -
[19:47:56] 127.0.0.1 "GET /favicon.ico HTTP/1.1" 404 -
[19:47:56] 127.0.0.1 "GET /data/runs.json HTTP/1.1" 200 -
[19:47:56] 127.0.0.1 "GET /data/living_room.scene.json HTTP/1.1" 200 -
[19:47:56] 127.0.0.1 "GET /data/living_room.report.json HTTP/1.1" 200 -
[19:47:56] 127.0.0.1 "GET /assets/living_room/rgb.png HTTP/1.1" 200 -
[19:47:57] 127.0.0.1 "GET /assets/living_room/masks/sofa_1.png HTTP/1.1" 200 -
[19:47:57] 127.0.0.1 "GET /assets/living_room/masks/mirror_1.png HTTP/1.1" 200 -
